sentence1;sentence2;label
Если вы иностранец, живущий в Японии, и деньги безосновательны, то можно ли посетить Южную Корею по праздникам? Если да, то как часто?;Если ты иностранец, живущий в Южной Корее и деньги несущественны, то можно ли посещать Японию во время отпуска? Если да, то как часто?;0
"В чем разница между ""приходить и приходить""?";"В чем разница между ""прийти и прийти""?";1
Обладает ли Дональд Трамп более высоким IQ, чем Хилари Клинтон?;Обладает ли Хилари Клинтон более высоким IQ, чем Дональд Трамп?;0
Нравятся ли индийским мальчикам пакистанские девочки, и думают ли они когда-нибудь выйти замуж за индийскую индуистку?;Нравятся ли пакистанским мальчикам индийские девочки, и думают ли они когда-нибудь выйти замуж за индийскую индуистку?;0
Следует ли мне переехать в Нью-Йорк или Лос-Анджелес вместо Атланты, чтобы начать актерскую карьеру в кино?;Следует ли мне переехать в Атланту вместо Нью-Йорка или Лос-Анджелеса, чтобы начать свою актерскую карьеру в кино?;0
Как вы объясните своим детям пребывание в тюрьме, как когда вы уходите, так и когда возвращаетесь?;Как вы объясните пребывание в тюрьме своим детям, как когда вы вернетесь, так и когда уйдете?;1
Получаете ли вы больше работы по дому в 8-м классе, чем в 9-м.;Получаете ли вы больше работы по дому в 9-м классе, чем в 8-ом?;0
Правда ли, что белым парням не нравятся чернокожие девушки?;Правда ли, что чернокожим парням белые девушки не нравятся?;0
Почему мужчины-мусульмане выходят замуж за женщин-немусульманок, а затем обращаются в ислам?;Почему немусульманские мужчины выходят замуж за мусульманских женщин и потом обращаются в ислам?;0
Сколько калорий я должен потреблять, если хочу потерять жир и набрать мышечную массу?;Сколько калорий я должен потреблять, если хочу потерять жир и набрать мышечную массу?;1
В чем разница между западной культурой и китайской?;В чем же разница между китайской и западной культурой?;1
В чем разница между относительной позицией и абсолютной позицией?;В чем разница между позицией: абсолютная и позиция: относительная?;1
Если я снова установлю WhatsApp, то будут ли письма, отправленные мне в то время, как мой WhatsApp был удален, доставлены мне при повторном удалении?;Если я удалю WhatsApp, то при повторном его восстановлении мне будут доставлены сообщения, отправленные мне за время удаления WhatsApp?;0
Как доехать до Мумбаи из аэропорта Пуны?;Как доехать до Пуны из аэропорта Мумбаи?;0
Как в кинетическую энергию преобразуется потенциальная энергия?;Как превращается кинетическая энергия в потенциальную энергию?;0
Если со мной случается что-то хорошее, случится ли после этого нечто плохое?;Если со мной произойдет что-то плохое, вдруг что-то хорошее произойдет после этого?;0
Почему Париж, Лондон и Нью-Йорк считаются величайшими городами?;Почему Нью-Йорк, Лондон и Париж считаются величайшими городами?;1
Какой лэптоп лучше, Lenovo или Dell?;Какой лэптоп лучше, Dell или Lenovo?;1
Почему у чернокожих людей в Африке более светлая кожа, чем у жителей Северной Америки?;Почему у темнокожих людей в Северной Америке кожа светлее, чем у африканцев?;0
Почему мне кажется, что я сплю один час, в то время как мне снится всего 15 минут?;Почему я так чувствую, что я мечтаю об одном часе, а сплю всего 15 минут?;0
Почему Рамзан Кадыров радуется, что Дональд Трамп выиграл президентские выборы в США?;Почему Рамзан Кадыров счастлив, что Дональд Трамп выиграл президентские выборы в США?;1
Если вы улыбаетесь, значит ли это, что вы не раните?;Если тебе больно, значит ли это, что ты не улыбаешься?;0
Термин давления в уравнениях Навье-Стокса - это статическое давление или динамическое давление?;Термин давления в уравнениях Навье-Стокса - это динамическое давление или статическое давление?;1
Я родился в Малайзии. Мои родные родители родом с Тайваня, и мой статус в Малайзии- лицо без гражданства. Могу ли я подать заявление на получение тайваньского гражданства?;Я родилась на Тайване. Мои родные родители оба родом из Малайзии, а мой статус в Малайзии без гражданства. Можно ли получить гражданство Тайваня?;0
Можем ли мы превратить механическую энергию в электрическую энергию?;Сможем ли мы превратить электроэнергию в механическую энергию?;0
Что думает Вьетнам о растущей мощи Китая? Будет ли он объединяться с США, или Японией, или Россией, чтобы противостоять растущей мощи Китая?;Что думает Вьетнам о растущей мощи Китая? Будет ли он объединяться с США, или Японией, или Россией, чтобы противостоять растущей мощи Китая?;1
Почему в ЕС так часто происходит физическое насилие над женщинами? Почему насилие над женщинами так распространено в Европе?;Почему в ЕС так распространено физическое насилие над женщинами? Почему насилие над женщинами так распространено в Европе?;1
Если Каталония станет независимой, присоединятся ли к ним Валенсия и Балеарские острова или останутся в Испании?;Если Испания станет независимой, войдут ли Валенсия и Балеарикские острова в их состав, или останутся Каталонией?;0
Каковы различия между индийской классической музыкой и западной классической музыкой?;В чем различия между западной классической музыкой и индийской классической музыкой?;1
Кто-то добавил меня в Snapchat, так что я удалил их снова. Потом они появились в списке добавленных меня. Означает ли это, что они удалили меня позже?;Кто-то удалил меня в Snapchat, так что я удалила их позже. Потом они появились в списке добавленных мной. Означает ли это, что они добавили меня снова?;0
Что лучше, холодный душ или теплый душ?;Что лучше, теплый душ или холодный?;1
Швейцария: Как жизнь в Женеве соотносится с жизнью в Цюрихе?;Цурих: Как сравнить жизнь в Швейцарии с жизнью в Женеве?;0
Какая разница между тем, чтобы быть духовным и быть религиозным?;Какая разница между тем, чтобы быть религиозным и быть духовным?;1
Удобно ли жить в городе Шэньчжэнь и работать в Гонконге?;Удобно ли жить в Гонконге и работать в городе Шэньчжэнь?;0
Вы думаете, что пристрастие к марихуане может повлиять на личность или изменить поведение?;Вы считаете, что пристрастие к марихуане может изменить личность или повлиять на поведение?;1
Если вселенная - это все, что находится в пространстве и времени, во что расширяется Вселенная? Действительно ли мы когда-нибудь узнаем все о Вселенной?;Если вселенная - это все, что находится в пространстве и времени, во что расширяется Вселенная? Действительно ли мы когда-нибудь узнаем все о Вселенной?;1
Если ты европеец и у тебя голубые или зеленые глаза, значит ли это, что ты смешанная индийская раса?;Если вы индиец и у вас голубые или зеленые глаза, значит ли это, что вы европейцы смешанной расы?;0
Билл Гейтс, Стив Джобс и Марк Цукерберг... неужели эти люди когда-нибудь делают романтические вещи со своими спутниками?;Марк Цукерберг, Стив Джобс и Билл Гейтс... неужели люди когда-нибудь делают романтические вещи со своими спутниками?;1
Кто лучше, Роналдиньо или Бекхэм?;Кто лучше, Бэкхэм или Роналдиньо?;1
Каковы меры по предотвращению миграции населения из сельских районов в городские?;Каковы меры по предотвращению миграции людей из городской местности в сельскую?;0
"Владел ли Роман Абрамович ""Сибнефтью"" до 2005 года, когда ""Газпром"" купил ее?";"Владел ли ""Газпромом"" Роман Абрамович до 2005 года, когда его купила ""Сибнефть""?";0
Есть ли кто-нибудь, кто заинтересован в том, чтобы делать бесплатные гостевые сообщения?;Есть ли кто-нибудь, кто заинтересован в том, чтобы делать бесплатные гостевые сообщения?;1
Кажется, что все находятся в социальных сетях, и их жизнь кажется захватывающей. Как моя жизнь может быть интересной, если я нахожусь в любой социальной сети?;Кажется, что все находятся в социальных сетях, и их жизнь кажется интересной. Как моя жизнь может быть захватывающей, если я нахожусь в любой социальной сети?;1
Почему я покупаю много книг, но я их не читаю?;Почему я покупаю много книг, но читаю их покупаю?;0
Зачем изучать электротехнику и электротехнику?;Зачем изучать электротехнику и электротехнику?;1
Могу ли я производить продукт, запатентованный в 1916 году, но так и не произведенный?;Я могу изготовить изделие 1916 года, но которое никогда не запатентовано?;0
Я забронировал авиаперелет из Дели в Ченнаи.;Я забронировал авиаперелет из Ченнаи в Дели.;0
Когда мы дышим воздухом, вдыхаем ли мы также и вредные газы, и если да, то что тогда происходит с этими другими газами?;Вдыхая воздух, дышим ли мы и другими газами, и, если дышим, то что происходит с этими вредными газами?;1
В чем разница между погодной системой низкого давления и погодой высокого давления?;В чем разница между погодной системой высокого давления и погодой низкого давления?;0
Верна ли теория правых о том, что Байден собирается баллотироваться вместе с Бараком Обамой в качестве его вице-президента, так что Барак Обама останется у власти еще на 8 лет?;Верна ли теория правого крыла о том, что Барак Обама планирует баллотироваться вместе с Бараком Обамой в качестве своего вице-президента, чтобы Байден оставался у власти еще 8 лет?;0
Может ли ребенок-интроверт вырасти мужчиной-экстравертом?;Может ли ребенок-экстраверт вырасти в человека, который интровертен?;0
В чем суть различия между цифровой стабилизацией и оптической стабилизацией?;В чем заключаются различия между оптической стабилизацией и цифровой стабилизацией?;1
В чем некоторые различия между исламской культурой и арабоязычной культурой?;Каковы некоторые отличия между культурой арабов и исламской культурой?;1
Многие индийские мужчины женятся на азиатских женщинах, кроме индиек. Мой друг говорит, что его семья разлучит его, если он женится на неиндийке. В чем их проблема?;Многие индийские мужчины женятся на неиндийских женщинах, кроме индийцев. Мой друг говорит, что его семья разлучит его, если он женится на азиатке. В чем их проблема?;0
Как обстоят дела с инженерно-механическими профессиями в Германии? Хороши ли они после получения диплома магистра в самой Германии в области машиностроения?;Как обстоят дела с инженерно-механическими профессиями в Германии? хороши ли они после получения диплома магистра в самой Германии в области машиностроения?;1
Разве бедные люди счастливее, чем богатые?;Счастливее ли богатые люди, чем бедные?;0
Будет ли разница в потреблении батареи мобильным телефоном с двойной сим-картой, если в него будет встроена одна или обе sim-карты?;Будет ли разница в потреблении батареи мобильным телефоном с двойной сим-картой, если в него будет встроена одна или обе sim-карты?;1
Каждый раз, когда я оставляю еду в холодильнике офиса, ее крадут мои коллеги. Что я могу сделать, чтобы узнать, кто ее ворует?;Каждый раз, когда я оставляю еду в холодильнике офиса, ее крадут мои коллеги. Что я могу сделать, чтобы узнать, кто ее ворует?;1
Какие книги я должен читать или какие видеолекции смотреть, чтобы научиться программированию на языке Java?;Какие книги я должен читать или какие видеолекции смотреть, чтобы научиться программированию на языке Java?;1
Почему Голда Мейер никогда не будет такой же хорошей, как Хиллари Клинтон?;Почему Хиллари Клинтон никогда не будет так хороша, как Голда Мейер?;0
Как мы знаем разницу между пастеризованным и обезжиренным молоком?;Как мы узнаем разницу между обезжиренным молоком и пастеризованным?;1
Если я хочу перевести деньги с моего счета Paypal, смогу ли я забрать деньги сразу же после подключения своего банковского счета?;Если я хочу снять деньги со своего счета в Paypal, смогу ли я перевести деньги сразу, после подключения моего банковского счета?;0
Почему Coldplay пользуется популярностью только в США, а не в Индии или других странах?;Почему Coldplay пользуется популярностью только в Индии, а не в США или других странах?;0
Считает ли Берни Сандерс, что Хилари Клинтон лично коррумпирована?;Считает ли Хилари Клинтон, что Берни Сандерс лично коррумпирован?;0
Большинство людей думают, что я прямолинейный, потом, как только они осознают наличие бойфренда, принимают меня за гея. Но я бисексуал, почему это так?;Большинство людей думают, что я гей, затем, как только они осознают наличие бойфренда, принимают меня за бисексуала. Но я прям, почему это так?;0
Если я активирую свой аккаунт в WhatsApp, но сохраню резервные копии чата в безопасности, могу ли я получить свои чаты обратно, как только я его отключу?;Если я отключу учетную запись WhatsApp, но сохраню резервные копии чата в безопасности, могу ли я получить свои чаты обратно, как только я активирую его обратно?;0
Где заканчивается вселенная? И что начинается там, где она заканчивается (если она когда-нибудь заканчивается)?;Где заканчивается вселенная? И что происходит там, где она заканчивается (если она когда-либо начинается)?;0
Почему небезопасно подогревать молоко матери в микроволновой печи, тогда как безопасно подогревать коровье?;Почему оно безопасно подогревать молоко матери в микроволне, тогда как его небезопасно нагревать коровье молоко?;0
Почему ничего не получается так, как я планирую в своей любовной жизни?;Почему ничего не происходит так, как я планирую в своей любовной жизни.?;1
Что думают чернокожие девушки о том, что чернокожие парни встречаются с белыми девушками?;Что думают белые девушки о чернокожих парнях, которые знакомятся с чернокожими девушками?;0
Есть ли разница между DID, т.е. множественным расстройством личности, и синдромом расщепления личности?;Есть ли разница между расщеплением, т.е. множественным расстройством личности, и синдромом DID личности?;0
Почему индийские банкноты нечистоплотны, грязны и негигиеничны?;Почему индийские банкноты грязные, негигиеничные и нечистоплотные?;1
Являются ли Тони Хемсворт, Шерлок Холмс и Дженнифер Лоуренс хорошими ролевыми моделями?;Являются ли Дженнифер Лоуренс, Шерлок Холмс и Тони Хемсворт хорошими ролевыми моделями?;1
Каковы различия между странами первого мира и третьего мира? Есть ли страны второго мира?;В чем отличия стран первого мира от стран второго мира? Есть ли страны третьего мира?;0
Какие книги любит читать Путин? Есть ли у него список литературы для чтения?;Какие книги любит читать Путин? Есть ли у него список для чтения?;1
Что означает 2-й, 3-й и 1-й дивизионы в индийской системе?;Что значит 1-й дивизион, 2-й и 3-й дивизионы в индийской системе?;1
Если вы считаете, что солипсизм является ложным, тогда зачем? Если вы считаете, что это правда, то каков ваш повод подумать, что это ложно?;Если вы думаете, что солипсизм - правда, то почему? Если вы думаете, что это ложь, тогда в чем причина того, что вы думаете, что это ложь?;0
Почему так много еврейских парней встречаются с азиатскими девушками, но почти нет еврейских девушек, которые встречаются с азиатскими парнями?;Почему у евреев много знакомств с девушками евреями, но почти нет азиатских девушек с азиатскими парнями?;0
Сколько женщин было с Хилари, когда она была замужем за Биллом Клинтоном?;Сколько женщин было с Биллом Клинтоном, когда он был женат на Хилари?;0
Увеличится ли мой вес, если я перестану ходить так же, как сейчас, после потери веса?;Увеличится ли мой вес сейчас, если я перестану ходить так же много, как раньше, после потери веса?;0
Потребуется ли второй аэропорт в Мельбурне, если будет создано высокоскоростное железнодорожное сообщение между Сиднеем, Австралия и Сиднее?;Потребуется ли второй аэропорт в Сиднее, Австралия, если будет создано высокоскоростное железнодорожное сообщение между Мельбурном и Сиднеем?;0
Какую конфигурацию ноутбука купить, чтобы выучить MATLAB?;Какую конфигурацию ноутбука купить, чтобы выучить MATLAB?;1
В каком городе лучше жить: Хайдарабад (Калькутта) или Коломна?;В каком городе лучше жить: Коломна (Калькутта) или Хайдарабад?;0
Что я буду делать, если я замечу это в Инстаграме у нас появилась какая-то необычная активность на твоем аккаунте.;Что сделаю, если получит это в Инстаграм Мы заметили необычную активность в вашем аккаунте.;0
Почему белые люди с большей вероятностью попадут в тюрьму, чем чернокожие?;Почему чернокожие люди с большей вероятностью попадут в тюрьму, чем белые?;0
Оплачивают ли водители Uber коммерческий налог за транспортное средство, которым они владеют? Если нет, как они могут использовать свое персональное транспортное средство в коммерческих целях?;Платят ли водители Uber какой-либо личный налог за автомобиль, которым они владеют? Если нет, то как они могут использовать свое коммерческое транспортное средство в коммерческих целях?;0
Будет ли у атомов, находящихся на одной орбите, одна и та же энергия во всех элементах?;Будет ли у атомов в одной орбите одна и та же энергия во всех элементах?;1
Каковы сходства и различия между Перси Джексон (серия фильмов о Гарри Поттере) и Аннабель (сериал о Гермионе)?;В чем сходства и отличия между Гермионой (серия фильмов о Гарри Поттере) и Аннабель (сериал о Перси Джексоне)?;0
Могут ли инженеры-механики работать электроинженерами?;Могут ли инженеры-электрики работать в качестве инженеров-механиков?;0
Если мужчина-христианин женится на мусульманке, будет ли в Исламе приемлемым, чтобы она продолжила быть христианином и не приняла ислам?;Если мужчина-мусульманин женится на христианке, будет ли приемлемо в исламе, чтобы она продолжала оставаться христианином и не обращалась в ислам?;0
Мой американский паспорт истекает в течение 6 месяцев, и я собираюсь в Мексику и возвращаюсь обратно в США до истечения срока. Будут ли у меня проблемы на границе?;У меня американский паспорт истекает в течение 6 месяцев, и я вернусь в Мексику и вернусь в США раньше истечения этого срока. Будут ли у меня проблемы на границе?;1
В чем же отличие между функциональным программированием и императивным программированием?;В чем разница между императивным программированием и функциональным программированием?;1
В чем разница в функционировании кипятильников низкого и высокого давления?;В чем разница в функционировании кипятильников высокого и низкого давления?;1
Какой самый гротескный (не самый пугающий) фильм ужасов за все время?;Какой самый пугающий (не самый гротескный) фильм ужасов за все время?;0
Говорил ли когда-нибудь Берни Сандерс о Гэри Джонсоне? Пожалуйста, приведите примеры, которые вам известны.;Говорил ли Гэри Джонсон когда-нибудь о Берни Сандерсе? Пожалуйста, приведите примеры, которые вам известны.;0
В чем отличия между частной компанией и частными компаниями с ограниченной ответственностью?;В чем различия между частной компанией с ограниченной ответственностью и частными компаниями?;1
Как ты можешь познать себя, когда ты не являешься собой?;Как можно быть самим собой, когда ты не знаешь себя?;0
Если Арнольд Шварценеггер сможет баллотироваться в президенты, сможет ли выдвигаться и Тед Круз?;Если Тед Круз может баллотироваться в президенты, может ли так же Арнольд Шварценеггер?;0
Разве у некоторых людей в настоящее время вместо имени и фамилии есть только одно имя и фамилия? Почему?;Разве у некоторых людей в настоящее время вместо одного имени и фамилии есть только имя и фамилия? Почему?;0
Доказано ли, что душа или жизнь после смерти существует? Если да, то был ли эксперимент, чтобы доказать это?;Будет ли доказано, что существует душа или жизнь после смерти? Если да, то был ли тогда эксперимент с целью ее доказать?;0
Каковы отличия между твердыми активами и ликвидными активами?;В чем различия между ликвидными активами и твердыми активами?;1
Чувствуют ли белые люди с темными волосами или тёмными глазами меньшую белизну, чем те, у кого светлее волосы или глаза?;Чувствуют ли белые люди с темными волосами или тёмными глазами меньшую белизну, чем те, у кого светлее волосы или глаза?;1
Если бы все страны Европы / Азии / Африки решили объявить войну Соединенным Штатам, кто бы победил?;Если бы все страны Африки / Азии / Европы решили объявить войну Соединенным Штатам, кто бы победил?;1
Должен ли я принимать душ с холодной или теплой водой после тренировки в спортзале?;Должен ли я принимать душ с теплой или холодной водой после тренировки в спортзале?;1
Если Дональд Трамп выбыл из предвыборной гонки в США, сможет ли Гэри Джонсон победить Хиллари Клинтон?;Если Дональд Трамп выбыл из президентских выборов в США, то сможет ли Хиллари Клинтон обойти Гэри Джонсона?;0
Должна ли Сербия платить деньги Хорватии, Югославии и Косово из-за их действий в Боснии?;Должна ли Сербия платить деньги Хорватии, Боснии и Косово из-за их действий в Юговии?;0
Что южноиндийские девушки думают о североиндийских девушках?;Что североиндийские девушки думают о южно-индийских девушках?;0
Должен ли я купить новый велосипед или подержанный?;Надо ли мне покупать подержанный велосипед или новый?;1
В чем существенная разница между жесткой водой и мягкой водой?;В чем существенная разница между мягкой водой и жесткой водой?;1
Если галактики перемещаются дальше друг от друга на большей скорости, не может ли это означать, что вместо того чтобы отдаляться друг от друга, их толкают к чему-то?;Если галактики движутся все дальше друг от друга с большей скоростью, может ли это на самом деле означать, что их тянут к чему-то, вместо того чтобы отталкивать друг друга?;1
Как я могу выучить английский и хорошо говорить на английском?;Как я могу хорошо говорить по-английски и выучить английский язык?;1
Какие типичные ошибки допускают писатели-мужчины при написании женских персонажей?;Какие типичные ошибки совершают писательницы-женщины при написании мужских персонажей?;0
Если бы в Австралии было 100 миллионов человек, насколько бы она была могущественной в политическом, военном и экономическом отношении?;Если бы у Австралии было 100 миллионов людей, насколько бы она была могущественной, военной и политической?;1
Почему аэробный спаривание вырабатывает меньше энергии, чем анаэробный спаривание?;Почему анаэробная респирация вырабатывает меньше энергии, чем эробная респирация?;0
Как 14-летняя девочка, которая хочет пойти в медицинский институт, должна ли я сейчас много работать и учиться, чтобы быть готовой к этому? Что мне делать?;Как 14-летняя девочка, которая хочет пойти в медицинский институт, должна ли я сейчас много работать и учиться, чтобы быть готовой к этому? Что мне делать?;1
Какие онлайн-курсы и книги нужно прочитать, чтобы стать хорошим специалистом / менеджером по маркетингу в социальных медиа?;Какие онлайн-курсы и книги стоит прочитать, чтобы стать хорошим специалистом / руководителем по маркетингу социальных медиа?;1
Следует ли мне переехать в Гонконг из Нью-Йорка?;Нужно ли переехать в Нью-Йорк из Гонконга?;0
Каковы некоторые вещи, которые стоят очень дешево в Индии и в то же время очень дорого в США?;Каковы некоторые вещи, которые стоят очень дорого в Индии и в то же время очень дешево в США?;0
Является ли идентификационный номер налогоплательщика США (EIN) тем же, что и номер Taxpayer ID в США?;Является ли идентификационный номер налогоплательщика США (EIN) таким же, как и номер Taxpayer ID в США?;1
Что я должен дарить папе из своей первой зарплаты? У него уже почти все есть, но все равно хочется подарить нечто, что сделает его счастливым.;Что подарить папе от первой зарплаты? У него почти все есть, но все равно я хочу подарить что-то, что сделает его счастливым.;1
В чем разница между количественной биологией и вычислительной биологией?;В чем разница между вычислительной биологией и количественной биологией?;1
Что случится с Великобританией, если ее перестанут поддерживать ООН, США, ЕС, Филиппины?;Что произойдет с Филиппинами, если ООН, США, ЕС, Великобритания прекратят его поддерживать?;0
В чем отличие виртуальной памяти, физической памяти и логической памяти?;В чем отличие логической памяти, физической памяти и виртуальной памяти?;1
Сколько пятизначных чисел возможно из цифр 1,2,3,4,5,6,7, когда каждая цифра различается? Как сумма всех чисел?;Сколько же возможно 5-значных чисел из чисел 1,2,3,4,5,6,7, когда каждую цифру различают? Какова сумма всех чисел?;1
Можно ли установить Ubuntu на внешний жёсткий диск и получить двойную загрузку Windows и Убунту путем подключения внешнего диска к моему ноутбуку?;Можно ли получить Ubuntu на внешнем жёстком диске и установить двойную загрузку Windows и Убунту, подключив внешний диск к ноутбуку?;1
Есть ли способ, благодаря которому индийская женщина, вышедшая замуж за пакистанца и обладающая множественным гражданством, сможет теперь получить пакистанскую въездную визу в Индию?;Есть ли способ, как индийская женщина, вышедшая замуж за пакистанца и имеющая пакистанское гражданство, может теперь получить многократную въездную визу в Индию?;0
Мой телефон Windows 8.1 не принимает сообщений, если я не в сети, сообщения, отправленные когда я нахожусь в оффлайне, никогда не поступают. Как это исправить?;Мой телефон Windows 8.1 не принимает сообщений, если я не в сети, сообщения, отправленные когда я нахожусь в оффлайне, никогда не поступают. Как это исправить?;1
Почему Ангела Меркель так либеральна в вопросе о мигрантах, но так консервативна по другим вопросам, таким как однополые браки?;Почему же Ангела Меркель так либеральна в вопросах мигрантов, но так консервативна в других вопросах, таких как гей-браки?;1
Какова реакция хлора с водой, при которой HCl (хлороводородная кислота) и HOCl (гипохлорная кислота) называются - гидразированием или гидролизом?;Какова реакция хлора с водой, в результате которой HCl (хлористоводородная кислота) и HOCl (гипохлорная кислота) называются гидратацией или гидролизом?;0
Как мне начать, если я хочу научиться программированию?;Как мне начать, если я хочу научиться программированию?;1
