;sentence1;sentence2;label
2824;Он родился в Нью-Йорке на Восточном Бродвее 23 октября 1806 года.;Он родился 23 октября 1806 года на Восточном Бродвее в Нью-Йорке.;1
1231;В 1837 году было основано первое почтовое отделение под названием Лоди, а в 1880 году оно было переименовано в Maple Park.;В 1837 году было основано почтовое отделение под названием Лоди, а в 1880 году почтовое отделение было переименовано в Maple Park.;1
38;Оно было названо в честь бывшего премьер-министра Малайзии Тун Хуссейна Онна.;Он был назван в честь бывшего третьего премьер-министра Малайзии Тун Хуссейна Онна.;0
1428;"После выступлений за Millwall, Clapton Orient и Chelseford City в Италии Уолсингем переехал в Англию, где играл с ""Дженоа"" и ""Болонья"".";"После выступлений в Англии за Millwall, Clapton Orient и Chelseford City Уолсингем переехал в Италию, где играл с ""Дженоа"" и ""Болоньей"".";0
1202;Другие два течения - это река Манглз и река Матири.;Два других рва - река Матири и река Манглес.;0
172;Несмотря на то, что его оппонент, Гуимо Валенсия, также был членом Консервативной партии, он получил поддержку Либеральной партии.;Хотя противник Гувемо Валенсия также был членом Консервативной партии, он получил поддержку и либеральной партии.;1
3098;Мужчина рассказывает Мэтту Мердоку, как женщина взяла под опеку маленькую Наташу незадолго до ее смерти во время Сталинградской битвы осенью 1942 года.;Мужчина рассказывает Мэтту Мердоку о том, как незадолго до ее смерти в Сталинградской битве осенью 1942 года маленькую Наташу взяла под опеку женщина.;1
3016;Он также продолжал занимать эту должность, когда Уинстон Черчилль пришел к власти в 1940 году, а затем был генеральным почтмейстером черчилля в период с 1943 по 1945 год.;Он продолжал занимать этот пост, когда в 1940 году к власти пришел Уинстон Черчилль, он был также генеральным почтмейстером Черчилля между 1943 и 1945 годами.;1
473;The Elder Scrolls Online - это многопользовательская онлайн-ролевая видеоигра (MMORPG), разработанная Bethesda и опубликованная ZeniMax Online Studios.;The Elder Scrolls Online - многопользовательская онлайн-ролевая видеоигра (MMORPG), разработанная ZeniMax Online Studios и опубликованная Bethesda.;0
3663;Он учился в школе Brunswick House, подготовительной школе в Хове, а затем переехал в Sutherland House, аналогичную школу в Фолкстоне.;Он учился в Брунсвикском Доме, подготовительной школе в Фолкестоне, а затем переместился в Sutherland House, аналогичную школу в Хове.;0
1813;В некоторых регионах, копии Windows 7 были только активированы и могли продаваться только в обозначенном регионе.;В отдельных регионах копии Windows 7 были активированы только в определенном регионе и могли продаваться только в нем.;1
1383;Город расположен к северо-западу от Сектора Газа - городка и Средиземного моря, западнее Аммана, Иордании, к юго-западу от Тель-Авива, Израиля и южнее Иерусалима.;Город расположен на юге от города Газа и Средиземного моря, к северо-востоку от Аммана, Иордания, к юго-востоку от Тель-Авива, Израиль, и на западе от Иерусалима.;0
411;"Джек Адамс (1895 - 1968) - канадский профессиональный хоккеист и многолетний тренер и менеджер ""Детройт Ред Уингз"".";"Джек Адамс (1895 - 1968) - канадский хоккеист и многолетний тренер и менеджер ""Детройт Ред Уингз"".";1
599;"Железнодорожные вагоны компании ""Британские железные дороги"" были доставлены в апреле 1958 года. Они базировались в Кембридже до 1964 года, и были отозваны в 1966 и 1967 годах.";Железнодорожные автобусы British Railways были отозваны в апреле 1958 г. Они базировались в Кембридже до 1964 г. Их поставляли в 1966 и 1967 гг.;0
1202;Дональд Рэнделл Эванс (Donald Randell Evans) был старшим сыном главнокомандующего военно-воздушными силами сэра Рэндэлла Иванса (1912-1975) и Найджела Ренделла Эвенса.;Найджел Рэнделл Эванс (Nigel Randell Evans) был старшим сыном главнокомандующего военно-воздушными силами сэра Дональда Рэндла Еванса (1912-1975) и Эллайна Эвенса.;0
2543;Поттер женился в 1945 г. У него и его жены Мэри (носильщицы) было двое детей - Энн (родилась в 1952 г.) и Джулиан.;У него и его жены Мэри (носильщицы) было двое детей, Энн (родилась в 1952 году) и Джулиан (1953 года рождения).;1
49;Группа была основана в Лас-Вегасе, а впоследствии переехала в Лос-Анджелес.;Группа была основана в Лас-Вегасе и позднее переехала в Лос-Анджелес.;1
2697;Slice была линией фруктово-ароматизированных безалкогольных напитков, производимых компанией PepsiCo и введенных в 1984 году и прекращенных в конце 2000-х - начале или середине 2010-х.;Slice - это линейка фруктово-ароматизированных безалкогольных напитков, производимая компанией PepsiCo и прекратившая свое существование в 1984 году, а также появившаяся в начале или середине 2000-х - конце 2010-х.;0
1135;Он окончил Гарвардский университет в 1891 г., а затем получил степень магистра в MIT в 1893.;Окончил Гарвардский университет в 1891 году, а в 1893 году получил степень бакалавра в МТИ.;0
1438;В 2011 году он занял третье место на Парапан-американских играх в Шарлотте, США, и еще одно третье место на Международном турнире чемпионов в Гвадалахаре, Мексика.;В 2011 году он занял третье место на Парапан-американских играх в Шарлотте, США, и еще одно третье место на Международном турнире чемпионов в мексиканской Гвадалахаре.;1
1417;Партия была зарегистрирована в октябре 2012 года и повторно создана в мае 2013 года.;Партия была вновь создана в октябре 2012 г. и зарегистрирована повторно в мае 2013 г.;0
3596;Город Отисфилд, в настоящее время находящийся в графстве Оксфорд, до 1978 года входил в состав графства Камберленд.;Городок Отисфилд, в настоящее время находящийся в округе Оксфорд, до 1978 года входил в состав округа Камберленд.;1
666;В течение нескольких месяцев обе железные дороги были объединены в Филадельфийскую, Уилмингтонскую и Балтийскую железные дороги, которая с этого момента выполняла первое железнодорожное сообщение из Филадельфии в Балтимор.;В течение месяцев обе железные дороги объединились в Филадельфию, Уилмингтон и Балтимор Рэйлроуд, которая затем стала обеспечивать первое железнодорожное сообщение между Балтимором и Филадельфией.;0
338;Тульские студенты принимают участие в больших международных мероприятиях, таких как II Международный студенческий форум в Берлине, Германия, и III Международный студенческий форум в Риме, Италия.;Студенты принимают участие в таких крупных международных событиях как III Международный студенческий форум в Риме, Италия, 3-й Международный студенческий форум в Берлине.;0
3186;Лиллиан Траскотт (Эмили Осмент) - лучший друг Майли Стюарт и подруга Оливера Окена по 3 и 4 сезонам.;Лиллиан Траскотт (Оливер Окен) - лучшая подруга Эмили Осмент и друг Майли Стюарт в 3 и 4 сезонах.;0
1356;Корабли похвастались отличной управляемостью и превосходными мореходными качествами.;Корабли хвастались превосходной управляемостью и отличными морскими качествами.;1
2056;"Дуг Брюс / Doug Bruce (род. 1967) - англо-американский фотограф, которому в 2005 году был посвящен документальный фильм Руперта Мюррея ""Неизвестный белый мужчина"".";"Руперт Мюррей / Rupert Murray (род. 1967 г) - американский фотограф, работающий на фотографии в англо-США. Он стал героем документального фильма Дуга Брюса ""Неизвестный белый мужчина"" (2005 г.).";0
790;Не более 5 лет и не менее пожизненного заключения (имеет право на условно-досрочное освобождение после отбытия 25 лет).;Не менее 5 лет и не более пожизненного заключения (имеет право на условно-досрочное освобождение после отбытия 25 лет);0
17;Он родился в Монреале, получил степень бакалавра в Гарвардском университете в 1945 году и степень магистра в Университете Макгилла в 1984 году.;Джои родился в Монреале. Он получил степень бакалавра в Университете Макгилла в 1945 году и степень магистра в Гарвардском университете в 1957 году.;0
3694;Научные исследования чаще всего не являются главной целью для многих астрономов-любителей, в отличие от профессиональных астронавтов.;Для многих астронавтов-любителей, в отличие от профессиональных астронавтов, научные исследования, как правило, не являются главной целью.;1
666;Также он представлял Турцию на чемпионате мира ФИБА 2010 года в Новой Зеландии.;Также он представлял Турцию на Чемпионате мира ФИБА 2010 в Новой Зеландии.;1
1801;На муниципальных выборах в 2015 году в Конгресс муниципалитета Коннагар получила 11 мест, КПИ (М) - 4 места и Конгресс Тринамола - 5 мест.;На муниципальных выборах в 2015 году в муниципальном округе Коннагар Конгресс Тринамол получил 11 мест, КПИ (М) 4 места и Конгресс 5 мест.;0
139;Анри Доблер родился в 1863 году в Марселе. Его родители занимались продажей шелка и текстиля в Швейцарии.;Анри Доблер родился в Марселе в 1863 году, а его родители занимались продажей шелка и текстиля в Швейцарии.;1
3028;Героический писатель Суэтоний приблизился к анекдоту римского центуриона Кассиуса Скаева, воевавшего в битве при Диррахии под Цезарем.;Героический писатель Суэтоний записал анекдот римского сотника Кассиуса Скаева, который сражался под Кесарем в битве при Диррахии.;0
2036;Жеребьевка полуфинале состоялась 13 февраля 2015 года. Полуфинал проходил 4-18 марта 2015 года.;Жеребьевка полуфиналов была сыграна 13 февраля 2015 г. Полуфиналы прошли с 4 по 18 марта 2015 г.;1
128;Швеция имеет посольство в Анкаре и генконсульство в Стокгольме. Турция имеет посольство в Стамбуле.;Швеция имеет посольство в Анкаре и генеральных консулов в Стокгольме. Турция имеет посольство в Стамбуле.;1
966;Партия была официально зарегистрирована 20 июня 2013 года, хотя и была сформирована в ноябре 2012 года.;Партия официально была сформирована 20 июня 2013 года, хотя была зарегистрирована в ноябре 2012 года.;0
2959;Meads of Asphodel это средневековая метал-группа из Хертфордшира, Соединенное Королевство, с заданным английским влиянием черного, восточного, панка и прогрессив-метала.;Meads of Asphodel - британская блэк-метал группа с ярко выраженным средневековым влиянием, восточным, панком и прогрессивным металлом из Хертфордшира в Соединенном Королевстве.;0
922;Спортивный комплекс Ризал Мемориал представляет собой бейсбольный стадион, расположенный внутри стадиона Ризал Мемориал в Маниле, Филиппины. Он вмещает 10000 мест.;Стадион Rizal Memorial Baseball Stadium - бейсбольный стадион, расположенный на территории Мемориального спортивного комплекса Ризал в Маниле, Филиппины. Он вмещает 10 тысяч человек.;1
555;В 1986 году он подписал Европейский единый европейский акт для Люксембурга, который положил начало европейскому внутреннему рынку.;В 1986 году он запустил Единый европейский акт для Люксембурга, который подписал европейский внутренний рынок.;0
3741;Аро Сантьяго (родился 18 июня 1932 года) - португальский композитор, дирижер, музыкальный педагог и университетский администратор канадского происхождения.;Армано Сантьяго родился 18 июня 1932 г. Канадский композитор, дирижер, музыкальный просветитель и университетский администратор португальского происхождения.;0
2493;Остров в 1886 году перешел к судоходству, и туда были переброшены аргентинские военно-морские силы.;В 1886 году остров передали в ведение аргентинского флота, и в него вошли силы флота.;1
2734;В 2016 году Bacardi объявила о создании нового бренда и намерена начать продавать собственную версию Havana Club. Она будет продаваться в Пуэрто-Рико и разливаться по бутылкам во Флориде.;В 2016 г. Bacardi объявила о новом брендинге и планах продаж своей версии Havana Club на территории страны, которая будет сжигаться во Флориде и разливаться в бутылки в Пуэрто-Рико.;0
2211;В 2016 году 3,9% детей посещали начальную школу в рамках двуязычного образования.;В 2016 г. 3,9% детей посещали начальные школы в двуязычных школах.;1
1087;Во время русской войны (1787-92 гг.) Репнин - после Александра Суворова - был самым успешным из вторых турецких командующих.;Во время второй турецкой войны (1787-92), по словам Александра Суворова, Репнин был самым успешным из русских военачальников.;0
2356;Расовый состав города составлял 97,34% белых, 0,89% американка, 0,63% афроамериканка и 1,14% от двух или более рас.;Расовый состав города составил 97,34% белых, 0,89% афроамериканцев, 0,63% этнических американцев и 1,14% от двух и более рас.;0
398;Планировка парка Дэви Глен похожа на планировку парка Твин Пайн (Twin Pines) и других парков в Белмонте.;План Belmont похож на парк Twin Pines и другие парки в парке Davey Glen Park.;0
802;(избирательный округ Видхан Сабха) (SC) входит в округ № 42 Бирум (округ Лок Саба).;Sainthia (избирательный округ Vidhan Sabha) (SC) является частью № 42 Birbum (округ Лок Сабха).;1
867;Holloway Field является домом для бейсбольного клуба Windsor Royals в Брисбене. Он считается домом бейсбола в Ньюмаркете, Квинсленд, Австралия.;Holloway Field является домом для бейсбольного клуба Windsor Royals в Ньюмаркете, Квинсленд, Австралия. Он считается домом бейсбола в Брисбене.;0
1762;Новая демократическая партия Онтарио (Ontario NDP) является одной из трех основных политических партий Онтарио, которые принимают участие во всеобщих выборах 2011 года в ОнТАРИО (Канада).;Новая демократическая партия Онтарио (Ontario NDP) - одна из трех основных политических партий Онтарио, участвующих во всеобщих выборах 2011 года.;1
265;Олимпийский комитет Каймановых островов был основан в 1973 году и признан МОК (Международным Олимпийским Комитетом) в 1976 году.;Олимпийский комитет Каймановых островов был основан в 1973 году и признан Международным Олимпийским Комитетом (МОК) в 1976 году.;1
2770;В конце 1970-х Вилли Фрэнсис жил в Канаде и несколько лет проработал на Ямайке, перед тем как вернуться в Англию.;В конце 1970-х годов Вилли Фрэнсис работал в Англии и жил в Канаде в течение нескольких лет, прежде чем вернуться на Ямайку.;0
3679;Она переехала в Швейцарию, когда ей было пару месяцев, потом выросла во Франции, но в основном в Париже.;Она переехала в Швейцарию, когда ей было несколько месяцев, в основном во Францию, но потом выросла в Париже.;1
1068;Спроектированный архитектором Генри Л. Тейлором, он был построен О. Р. Вудкоком (O. R. Woodcock).;Его построил архитектор Генри Л. Тейлор и спроектировал О. Р. Вудкок.;0
384;В апреле 1916 года из Греции на материковую часть острова Корфу на британских и французских морских судах была отбуксирована большая группа сербов.;В апреле 1916 года на английских и французских судах с навалами выводилась из Греции в материковую Корфу большая группа сербских войск.;1
2716;Potez X - французский военно-транспортный самолет 1920-х годов, спроектированный и построенный Potez.;"""Потез X"" - французский транспортный самолет 1920-х годов, спроектированный и построенный компанией Potez.";0
530;Лидия Йейманс родилась во время поездки из Мельбурна в Сидней у побережья Южной Австралии.;Лидия Йеманс родилась во время поездки из Сиднея в Мельбурн у берегов Южной Австралии.;0
6;В настоящее время насчитывается двадцать одна церковь в семи штатах (Арканзас, Кентукки, Северная Каролина, Огайо, Теннесси, Виргиния и Западная Вирджиния).;В настоящее время насчитывается двадцать одна церковь в семи странах (Арканзас, Кентукки, Северная Каролина, Огайо, Теннесси, Вирджиния и Западная Виргиния).;0
1059;Он родился 1 марта 1921 года в Нью-Йорке и вырос в городе Северный Колдуэлл, штат Нью Джерси.;Уилбур родился в Северном Колдуэлле, штат Нью-Джерси, 1 марта 1921 года, и вырос в НьюЙорке.;0
3531;Он также иллюстрировал множество детских книг и пять раз становился лауреатом Левитановской премии за свои иллюстрации - в 1958, 1962, 1967, 1974 и 1975 годах.;Он также выиграл множество детских книг и пять раз становился лауреатом премии Левитта за свои иллюстрации - в 1958, 1962, 1967, 1974 и 1975 годах.;0
1022;В 1727 году Линдон женился на Марии Карр, дочери Эдварда и Ханны (Стэнтон) Карр, и внучке губернатора Калеба Карр.;Мэри Карр женилась в 1727 году на Калеб Карр, дочери Линдона (Стэнтона) Карра и внучки губернатора Эдварда и Ханны.;0
292;Однако Крейг становится беспокойным, когда Джон Пол зовет Сару присоединиться к ним.;Крейг, однако, становится беспокойным, когда Джон Пол Сара зовет присоединиться к ним.;0
3516;Ауб Ромеро / Aub Romero (род. 24 октября 1989 года в Мексике, Мексика, Д.Ф.) - мексиканская актриса.;Ауб Ромеро / Aub Romero (род. 24 октября 1989 года в Мехико, округ Колумбия, Мексика) - мексиканская актриса.;1
1107;По этой причине Кастелло ди Монтероне был серьезно поврежден военными атаками, особенно со стороны Браки да Монтоне или Малатесты Бальони (около 1416 и 1582 годов).;Именно поэтому Кастелло ди Монтероне был сильно поврежден военными нападениями, в особенности со стороны Бракино да Монтене или Малатеста Бальони (примерно 1416 и 1582 гг.).;1
2807;Myrtle Creek Municipal Heliport - частный Heliport, расположенный в 3 милях к юго-востоку от Myrtle Creek в округе Дуглас, штат Орегон, США.;Myrtle Creek - это частный Heliport, расположенный в 3 милях к юго-востоку от города Myrt Creek в округе Дуглас, штат Орегон, США.;1
515;Он живет со своей женой Синтией в Ридфилде, штат Коннектикут, и у него четверо детей: Джейсон, Хемсворт, Линдсей и Ребекка.;В настоящее время проживает в Риджафилде, штат Коннектикут, со своей женой Синтией. У него четверо детей: Линдсей, Хьюстон, Джейсон и Ребекка.;0
841;Вальдегрейв был вторым сыном Элизабет, 3-го графа Уолдеграйва, и Джона Waldegrave (род. Гоуэр).;Вальдегрейв был вторым сыном Джона Уолдегрэйва, 3-го графа Вальдграйва и Элизабет (в девичестве Гоуэр).;0
3382;В 1781 году Губернатор Иллинойса Томас Джефферсон Кларк повысил Бригадира до Генерала и отдал ему командование всей милицией в округах Кентукки и Вирджиния.;В 1781 году Вирджиния повысила губернатора Томаса Джефферсона Кларка до бригадного генерала и дала ему приказ на все ополчения в графствах Кентукки и Иллинойс.;0
218;На летних Паралимпийских играх 2000 года страну представляли 29 спортсменов - мужчин и 48 - женщин.;На летних Паралимпиадах 2000 года страну представляли 29 спортсменов-женщин и 48 спортсменов-мужчин.;0
2955;Клайн родился 10 сентября 1970 года в Келоуна, Британская Колумбия, и вырос в Калгари, Альберта.;Клайн родился 10 сентября 1970 года в Калгари, Альберта, и вырос в Келоуна, Британская Колумбия.;0
2051;Он умер в Эдинбурге 28 августа 1901 года. В 1870 году на Маврикии он женился на Шарлотте, дочери Перси Фитцпатрик.;Он умер в Эдинбурге 28 августа 1901 года и женился в 1870 году на Маврикии на Шарлотте, дочери Перси Фитцпатрик.;1
180;Электрический обогреватель - это электрическое устройство, которое превращает электрический ток в тепло.;Электрический отопитель представляет собой электрическое устройство, которое преобразует электрический ток в тепло.;1
2488;Лорд Слинн высказал краткое мнение, соглашающееся с Лордом Брауном-Уилкинсоном. Лорд Вустер согласился с Лордом Гоффом, лорд Ллойд согласился с Лордом-Брауном-Уилкинсоном.;Лорд Слинн высказал краткое мнение, совпавшее с мнением лорда Брауна-Уилкинсона. Лорд Ллойд согласился с мнением лорда Гоффа, Лорд Вокслейн согласился с мнением лорда Брауна-Вилькинсона.;0
2011;Банц принимал активное участие в благотворительной деятельности в 1960-х годах, являясь председателем комитетов по сбору средств Американского Красного Креста и американского общества борьбы с раком.;Банц активно участвовал в благотворительности в 1960-е годы, выступая председателем попечительских советов Американского общества борьбы с раком и Американского Красного Креста.;1
3537;В 2015 году Стивен Хокинг бесплатно предложил Ричарду Брэнсону кресло на космическом корабле Virgin Galactic.;В 2015 году Стивен Хокинг бесплатно предложил Ричарду Брансону место в космическом корабле Virgin Galactic.;1
268;В 2009 году он переехал обратно в Филадельфию и сегодня живет в Нью-Йорке.;Он переехал назад в Филадельфию в 2009 году и теперь живет в Нью-Йорке.;1
67;Несколько членов Комиссии Макмиллана были назначены в КФА, как многие сторонники плана Макмиллана.;Несколько членов Комиссии МакМиллана были назначены в КФА, так же как и многие сторонники Плана Макмилана.;1
278;Парк расположен примерно в полутора часах к югу от Сан-Франциско или в пяти часов к северу от Лос-Анджелеса.;Парк расположен примерно в полутора часах к северу от Лос-Анджелеса или в пяти часам к югу от Сан-Франциско.;0
712;В Гамильтон-хилл имеется одна средняя школа - Hamilton Senior High School - и две начальные школы - East Hamilton Hill Primary School и Southwell Primary School.;Hamilton Hill имеет начальную школу, Hamilton Senior High School, и две средние школы - East Hamilton Hill Primary School и Southwell Primary School.;0
1190;Фракия - географический регион на восточных Балканах, сегодня поделенный между Болгарией, Грецией и Турцией.;Фракия - географический регион на восточных Балканах, сегодня поделенный между Турцией, Грецией и Болгарией.;1
1920;Эти 11 Йога Упанишадов принадлежат к ведантической Шеке (школе) с ведантической точки зрения.;Эти 11 йога упанишад с ведической точки зрения принадлежат к ведантической шаке (школе).;0
458;Рассовый состав города составлял 96,7% белых, 0,3% афро-американцев, 1,9% нативных американцев и 1,1% представителей двух и более рас.;Расовый состав города составлял 96,7% белых, 0,3% нативных американцев, 1,9% афроамериканцев и 1,1% представителей двух и более рас.;0
3722;Его отец умер в юности, а его мать, Самуэль Адамс, женилась на Катрин А. Фэган в 1842 году, которая спустя два года стала губернатором Арканзаса.;Его отец умер во времена своей молодости, а мать, Кэтрин А. Фаган, в 1842 году женилась на Самуиле Адамсе, ставшем губернатором Арканзаса два года спустя.;0
769;16 июня 1948 года он женился на Мэри Хейстенд Андервуд (Mary Heistand Underwood) и у него было трое детей: Скотти, Молли и Мери Кейт.;16 июня 1948 г. женился на Мэри Кейт (урожденной Мэри ХеСтэнд Андервуд) и имел троих детей: Скотти, Молли и Скотта.;0
1946;Он строил фабрики по производству оружия для Второв и Михельсон в Электростали, в Затишье (Москва, Серпухов) и Богородицке (Ногучек).;Он строил заводы по производству оружия для Вракова и Михельсона в Оке, Затишье (Москва, Серпухов) и Богородске (Ногдок).;0
2805;Клер Морган / Claire Morgan (род. 18 мая 1980 года в Лондоне, Англия) - международный скульптор и художник, живущих и работающий в Белфасте (Северная Ирландия).;Клэр Морган / Claire Morgan (род. 18 мая 1980 года в Лондоне, Англия) - известный скульптор и художник, живущий и работающий в Белфасте, Северная Ирландия.;1
1720;Томас Хопкинс женился на Элис Хопкинс, дочери Ли, торговки из Лондона.;Томас Хопкинс женился на Элис Хопкинс, дочери лондонского торговца Ли.;1
488;Бывший президент, Бренда Куекс, в 2013 году получила премию Clean50 за свою работу по продвижению устойчивого развития и чистого предпринимательства в Канаде.;В 2013 году бывший президент Бренда Куэкс получила премию Clean50 за свою работу по продвижению чистого развития и устойчивого развития в Канаде.;0
335;Тур достиг Бангкока 12 июля 2008 года в Таиланде и 22 ноября 2008 в Шанхае.;Тур достиг 12 июля 2008 года в Шанхае и 22 ноября 2008 в Бангкоке, Таиланд.;0
2544;В 1992 году 14-й отдел ПВО и 10-й корпус ПВО были расформированы.;В 1992 году 10-я дивизия противовоздушной обороны и 14-й корпус ПВО были расформированы.;1
1866;Сингл был анонсирован 31 октября 2015 и будет выпущен 13 ноября 2015 года.;Сингл был анонсирован 31 октября 2015 и выпущен 13 ноября 2015 года.;1
1133;Продюсировал его Эрик Армстронг, писал Жаки Барнбрук, а писал Джефф Уолвертон.;Его написал Джефф Уолвертон, во главе с Эриком Армстронгом, а продюсером выступила Жаки Барнбрук.;0
1951;Нсанже - это район в южной области Нсанже. Столица - Малави. Округ занимает площадь и имеет население 194 924 человека.;Нсанже является районом на юге региона Малави Столица Нсанже Район состоит из площади и с населением 194.924 человека.;0
2069;Обладателям желтых карточек пришлось бы столкнуться друг с другом. Четверо получили бы зеленые карточки, а двое, получившие красные, были бы дисквалифицированы.;Обладателям красных карточек пришлось бы столкнуться друг с другом. Четверо получили бы желтые карточки, а двое, получившие зеленые, были бы дисквалифицированы.;0
3101;В 2000 году она была избрана первым канадским президентом Ассоциации современных языков, 117-й канадкой, сохранившей этот пост, и третьей женщиной.;"В 2000 г. она была избрана первым канадским президентом Ассоциации современного языка; она была 117-й по счету канадкой, занимающей данный пост, и третьей женщиной-президентом Ассоциации.";1
404;"Валери на лестнице - восьмой эпизод второго сезона ""Мастера хоррора"".";Валери на ступенях - это второй эпизод восьмого сезона Мастера Ужаса.;0
2530;"Камм решил использовать оба двигателя: ""Tempest Mk 5"" оснащался ""Sabre"", а ""Tempest Mk 2"" - ""Bristol Centaurus"".";"Камм решил, что будут использоваться оба двигателя: Tempest Mk 5 был оснащен более мощной ""Саблей"", в то время как ""Темпест Мк 2"" был Bristol Centaurus.";1
1357;Вместе со своим мужем Раджасри она выпустила примерно 25-30 фильмов под псевдонимами Sri Rajarajeswari, Kadaru Nagabhushanam images и Sri Varalakshmi.;С мужем Кадару Нагабхушанамом она сняла около 25-30 фильмов, снявшихся под руководством Шри Раджараджесвари, Раджасри и Шри Варалакшми.;0
1239;Он оставался в Японии в течение трех лет, прежде чем вместе со своей семьей перебрался обратно в Германию.;Он оставался в Германии в течение трех лет, прежде чем вместе со своей семьей переехать обратно в Японию.;0
85;1 апреля 2010 года Питер Эбдон совершил первый официальный максимальный прорыв в своей карьере на Открытом чемпионате Китая 2010 против Робертсона во втором круге.;1 апреля 2010 года Робертсон совершил первый в официальной карьере максимальный разрыв в матче второго круга на Открытом чемпионате Китая против Питера Эбдона в 2010 году.;0
996;10 марта, в театре Jazz Band Криса Барбера играл Оттили Паттерсон, а 19 мая 1961 года к нему присоединился Эйкер Билк.;10 марта в зале выступил джаз-банд Криса Барбера, а 19 мая 1961 года там же играли Акер Билк и Оттили Паттерсон.;0
2991;Он был избран в 1977 году и в апреле 1978 года был переизбран во вновь созданный Апелляционный суд 1.;В 1977 году он был вновь избран и избран во вновь созданный Апелляционный суд 1 округа в апреле 1978 года.;0
521;В ЛИТ есть несколько студенческих деревень, крупнейшими из которых являются Томонд и Харристон. Другие места проживания включают в себя студенческую деревню Крэтлоу Вудс.;В ЛИТ есть несколько студенческих деревень с крупнейшими студенческими деревнями Томонд и Харристон. Другие места проживания включают студенческую деревню Крэтлоу Вудс.;1
